UNIQUE_ID_PK,TASK_ID_FK,BASE_DOMAIN_FK,TASK_JUDG_ORDER,JUDGEMENTS,IMAGE_FOLDER_NAME,RANK_BING,RANK_GOOGLE,RANK_YAHOO,AVERAGE_RANK,AVERAGE_RANK_RND,WEIGHTED_RANK,WEIGHTED_RANK_RND,URL,TITLE,DOMAIN_NAME,SNIPPET,IMAGE_NAME,CITATIONS_FIRST_2_PARA
H_00000149,Practice-2,livestrong.com,5,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.livestrong.com/article/411468-the-disadvantages-of-echinacea/,The Disadvantages of Echinacea,http://www.livestrong.com/,"Echinacea is a medicinal herb first used by Native Americans to treat infections. Today, it is most often used to treat the common cold. It is unclear if echinacea works, as the research evidence is conflicting. Echinacea is also used to treat other infections like the flu, herpes and ear infections, but its effectiveness is unproven.",httpwww.livestrong.comarticle411468-the-disadvantages-of-echinacea,0
H_00000146,Practice-2,smh.com.au,2,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.smh.com.au/lifestyle/diet-and-fitness/herbal-remedy-claims-debunked-20101221-193sk.html,Herbal remedy claims debunked,http://www.smh.com.au/,Got the sniffles? The largest study of the popular herbal remedy echinacea finds it won't help you get better any sooner. The study of more than 700 adults and children suggests the tiniest possible benefit -- about a half-day shaved off a weeklong cold and slightly milder symptoms. But that could have occurred by chance.,httpwww.smh.com.aulifestylediet-and-fitnessherbal-remedy-claims-debunked-20101221-193sk,0
H_00000148,Practice-2,theglobeandmail.com,4,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.theglobeandmail.com/life/health-and-fitness/health/conditions/fighting-a-cold-skip-the-echinacea/article623508/,Fighting a cold? Skip the echinacea,http://www.theglobeandmail.com/,"It's the season when many of us will come down with the common cold. And if you have kids in school, chances are you'll get hit more than once.  With the inevitable misery of cold season, many Canadians stock up on natural remedies to help relieve sore, scratchy throats, sneezing and runny noses.",httpwww.theglobeandmail.comlifehealth-and-fitnesshealthconditionsfighting-a-cold-skip-the-echinaceaarticle623508,0
H_00000083,T2,en.wikipedia.org,3,Correct,correct,17,11,10,12.66666667,13,11.399,11,http://en.wikipedia.org/wiki/Alcohol_detoxification,Alcohol detoxification,http://en.wikipedia.org/,"Alcohol detoxification, or detox, for individuals with alcohol dependence, is the abrupt cessation of alcohol intake, a process often coupled with substitution of cross-tolerant drugs that have effects similar to the effects of alcohol in order to prevent alcohol withdrawal. As such, the term ""detoxification"" may be somewhat of a misnomer since the process need not refer exclusively to the removal of toxic substances from the body. Detoxification may or may not be indicated depending upon an individual's age, medical status, and history of alcohol intake.",httpen.wikipedia.orgwikiAlcohol_detoxification,1
H_00000086,T2,aafp.org,6,Correct,correct,31,31,31,31,31,31,31,http://www.aafp.org/afp/1998/0701/p139.html,Management of Withdrawal Syndromes and Relapse Prevention in Drug and Alcohol Dependence,http://www.aafp.org/,"The primary care physician is in a good position to diagnose, manage and intervene with patients who are undergoing the process of treatment and recovery from alcohol and drug disorders. Medications such as benzodiazepines are effective in the treatment of withdrawal syndromes, and naltrexone and disulfiram can be used to augment relapse prevention. Patients may also participate in psychosocial methods of addiction treatment that can reduce the risk of relapse and improve their psychosocial, health, legal and employment status.",httpwww.aafp.orgafp19980701p139,3
H_00000088,T2,ncbi.nlm.nih.gov,8,Correct,correct,31,4,7,14,14,6.862,7,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0013216/,Benzodiazepines for alcohol withdrawal,http://www.ncbi.nlm.nih.gov/,Plain language summary Benzodiazepines are more effective than placebo against alcohol withdrawal seizures while they have variable profile against other commonly used treatments This Cochrane review summarizes evidence from sixty-four randomised controlled trials evaluating the effectiveness and safety of benzodiazepines in the treatment of alcohol withdrawal symptoms. The available data show that benzodiazepines are effective against alcohol withdrawal seizures when compared to placebo and a potentially protective benefit for many outcomes when compared with other drugs. Data on safety outcomes are sparse and fragmented.,httpwww.ncbi.nlm.nih.govpubmedhealthPMH0013216,1
H_00000081,T2,psychologytoday.com,1,Correct,correct,4,3,6,4.333333333,4,3.15,3,http://www.psychologytoday.com/blog/all-about-addiction/201205/treating-alcohol-withdrawal-benzodiazepines-safe-if-mindful,Treating Alcohol Withdrawal With Benzodiazepines--Safe if Mindful,http://www.psychologytoday.com/,"Alcohol withdrawal can be dangerous, but less so if properly managed. Alcohol withdrawal can be extremely unpleasant (see herefor an overview). Symptoms vary from person to person, but most people will experience some negative symptoms of alcohol withdrawal if they try to stop drinking after long term use. Mild to moderate symptoms include headache, nausea, vomiting, insomnia, rapid heart rate, abnormal movements, anxiety, depression, and fatigue.",httpwww.psychologytoday.comblogall-about-addiction201205treating-alcohol-withdrawal-benzodiazepines-safe-if-mindful,1
H_00000084,T2,sbir-diba.ca,4,Correct,correct,8,8,11,9,9,7.955,8,http://www.sbir-diba.ca/follow-up-and-support/withdrawal-monitoring-and-management/medications-for-management-of-alcohol-withdrawal,Medications for management of alcohol withdrawal,http://www.sbir-diba.ca/,"Benzodiazepines are considered the treatment of choice for the management of alcohol withdrawal symptoms. Benzodiazepines reduce the signs and symptoms of alcohol withdrawal, and the incidence of delirium and seizures. Based on indirect comparisons there is currently no strong evidence that particular benzodiazepines are more effective than others and selection should be made on an individual basis.1-2 Alprazolam and triazolam are not recommended. Diazepam (Valium) is recommended due to its efficacy profile, wide therapeutic window and _��self-tapering' effect due to its long half life. ",httpwww.sbir-diba.cafollow-up-and-supportwithdrawal-monitoring-and-managementmedications-for-management-of-alcohol-withdrawal,2
H_00000085,T2,who.int,5,Correct,correct,20,7,10,12.33333333,12,8.338,8,http://www.who.int/mental_health/mhgap/evidence/alcohol/q2/en/,Management of alcohol withdrawal,http://www.who.int/,"Question 2: What interventions are safe and effective for the management of alcohol withdrawal, including treatment for alcohol withdrawal seizures and prevention and treatment for acute Wernicke's encephalopathy? Default DIV wrapper for all story meta data Management of alcohol use disorder",httpwww.who.intmental_healthmhgapevidencealcoholq2en,0
H_00000101,T2,alcoholaddictioncenter.org,5,Correct,correct-added,23,31,31,28.33333333,28,29.602,30,https://alcoholaddictioncenter.org/treatment/medications/benzodiazepines/,Benzodiazepines,https://alcoholaddictioncenter.org/,"Are you worried that you or a loved one is struggling with alcohol addiction? Alcohol use disorder, commonly referred to as AUD, isn't a choice; it's an indiscriminate, chronic relapsing brain disease.",httpsalcoholaddictioncenter.orgtreatmentmedicationsbenzodiazepines,0
H_00000104,T2,en.wikipedia.org,8,Correct,correct-added,31,11,14,18.66666667,19,13.001,13,https://en.wikipedia.org/wiki/Alcohol_withdrawal_syndrome,Alcohol withdrawal syndrome,https://en.wikipedia.org/,"Alcohol withdrawal syndrome is a set of symptoms that can occur following a reduction in alcohol use after a period of excessive use. Symptoms typically include anxiety, shakiness, sweating, vomiting, fast heart rate, and a mild fever. More severe symptoms may include seizures, seeing or hearing things that others do not, and delirium tremens (DTs).",httpsen.wikipedia.orgwikiAlcohol_withdrawal_syndrome,3
H_00000103,T2,sunrisehouse.com,7,Correct,correct-added,31,10,13,18,18,12.124,12,https://sunrisehouse.com/detox-process/medications-ease-pain-withdrawals/benzodiazepines/,Can Benzodiazepines Be Used for Detox?,https://sunrisehouse.com/,"Benzodiazepines are a class of psychiatric medications used in the short-term treatment of anxiety, panic disorders, and insomnia. They can also be used to treat seizure disorders, including epilepsy. ",httpssunrisehouse.comdetox-processmedications-ease-pain-withdrawalsbenzodiazepines,0
H_00000098,T2,addictioncenter.com,2,Correct,correct-added,5,2,1,2.666666667,3,2.246,2,https://www.addictioncenter.com/alcohol/benzodiazepines-alcohol-withdrawal/,Benzodiazepines for Alcohol Withdrawal,https://www.addictioncenter.com/,"Benzodiazepines (or Benzos) are a class of man-made medications. There are a large number of drugs classified as Benzodiazepines, each of which is different. In general, however, Benzodiazepines depress the central nervous system (the nerves in the brain) to some degree and cause drowsiness and sleepiness. ",httpswww.addictioncenter.comalcoholbenzodiazepines-alcohol-withdrawal,0
H_00000105,T2,alcohol.org,9,Correct,correct-added,31,16,18,21.66666667,22,17.353,17,https://www.alcohol.org/medication/,Medications to Treat Alcohol Withdrawal Symptoms,https://www.alcohol.org/,"The development of physical dependence (expressing both tolerance and withdrawal) on alcohol can be a significant barrier to recovery for an individual who has an alcohol use disorder. Both tolerance to alcohol and the development of withdrawal symptoms when one stops using alcohol are potential diagnostic symptoms in individuals who are suspected of having alcohol use disorders, according to the diagnostic criteria put forth by the American Psychiatric Association (APA) to diagnose an alcohol use disorder (the clinical term used to signify issues with alcohol abuse and alcoholism).",httpswww.alcohol.orgmedication,1
H_00000102,T2,alcoholrehabguide.org,6,Correct,correct-added,8,6,9,7.666666667,8,6.201,6,https://www.alcoholrehabguide.org/treatment/benzodiazepines/,Benzodiazepines,https://www.alcoholrehabguide.org/,"Benzodiazepines, also commonly referred to as ""benzos"", are used to treat alcoholism and alcohol withdrawal symptoms. These prescriptions come in a tablet form that can be swallowed or dissolved under the tongue, as well as a liquid form that is injected.",httpswww.alcoholrehabguide.orgtreatmentbenzodiazepines,0
H_00000097,T2,cochrane.org,1,Correct,correct-added,2,12,11,8.333333333,8,10.701,11,https://www.cochrane.org/CD005063/ADDICTN_benzodiazepines-for-alcohol-withdrawal,Benzodiazepines for alcohol withdrawal,https://www.cochrane.org/,Benzodiazepines are more effective than placebo against alcohol withdrawal seizures while they have variable profile against other commonly used treatments.  This Cochrane review summarizes evidence from sixty-four randomised controlled trials evaluating the effectiveness and safety of benzodiazepines in the treatment of alcohol withdrawal symptoms. ,httpswww.cochrane.orgCD005063ADDICTN_benzodiazepines-for-alcohol-withdrawal,0
H_00000100,T2,mdedge.com,4,Correct,correct-added,22,15,16,17.66666667,18,15.498,15,https://www.mdedge.com/jfponline/article/65531/addiction-medicine/3-regimens-alcohol-withdrawal-and-detoxification,3 Regimens for alcohol withdrawal and detoxification,https://www.mdedge.com/,Practice recommendations Patients with mild to moderate alcohol withdrawal symptoms and no serious psychiatric or medical comorbidities can be safely treated in the outpatient setting. Patients with moderate withdrawal should receive pharmacotherapy to treat their symptoms and reduce their risk of seizures and delirium tremens during outpatient detoxification.,httpswww.mdedge.comjfponlinearticle65531addiction-medicine3-regimens-alcohol-withdrawal-and-detoxification,0
H_00000087,T2,ncbi.nlm.nih.gov,7,Correct,correct,31,31,31,31,31,31,31,https://www.ncbi.nlm.nih.gov/pubmed/9872344,Benzodiazepine treatment for alcohol-dependent patients.,https://www.ncbi.nlm.nih.gov/,Abstract Benzodiazepines (BZDs) are the preferred pharmacological agents for treatment of acute alcohol withdrawal. Treatment with BZDs can be administered on an out-patient basis for subjects experiencing mild to moderate withdrawal and on an in-patient basis for the most severe forms of withdrawal. The efficacy of BZDs for long-term treatment of alcoholism has been more controversial. Controlled studies indicate that BZD treatment does not improve abstinence rate. Most reviews of drug treatment of alcoholism conclude that routine use of BZDs is not indicated on a long-term basis.,httpwww.ncbi.nlm.nih.govpubmed9872344,0
H_00000099,T2,uptodate.com,3,Correct,correct-added,3,5,4,4,4,4.667,5,https://www.uptodate.com/contents/management-of-moderate-and-severe-alcohol-withdrawal-syndromes,Management of moderate and severe alcohol withdrawal syndromes,https://www.uptodate.com/,"Alcoholism is a common condition and most clinicians are forced to confront its complications in some of their patients. There are an estimated 8 million alcohol dependent people in the United States alone, and approximately 500,000 episodes of withdrawal severe enough to require pharmacologic treatment occur each year.",httpswww.uptodate.comcontentsmanagement-of-moderate-and-severe-alcohol-withdrawal-syndromes,0
H_00000095,T2,beyondmeds.com,7,Incorrect,incorrect,555,555,555,555,555,555,555,http://beyondmeds.com/2009/06/30/warnings-of-the-dangers-of-benzodiazepines/,Warnings of the dangers of benzodiazepines hit the media,http://beyondmeds.com/,"About 2 decades too late and a good decade after the alarm bell was sounded in the UK but it's better late than never. Benzodiazepines, often prescribed to manage anxiety, panic and sleep disorders, include Xanax, Ativan, Valium and Klonopin. Originally pushed as an alternative to barbiturates, their use has grown rapidly in the past 30 years. But critics say their long-term effects have gone largely unaddressed.",httpbeyondmeds.com20090630warnings-of-the-dangers-of-benzodiazepines,0
H_00000096,T2,benzo.org.uk,8,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.benzo.org.uk/juliek.htm,Benzodiazepine Addiction,http://www.benzo.org.uk/,"I have experienced severe health problems in the past 15 years (mainly depression and anxiety). Please read the following, which explains it all. Currently, I am withdrawing from a potent benzodiazepine and the withdrawal symptoms are intolerable. I would like to draw this issue to your attention so that neither you nor anyone you know ever have to experience what I have (and am still experiencing). I am lobbying with the goal of making our government, pharmaceutical companies, and the medical community accountable for this very serious issue, which affects millions of people worldwide.",httpwww.benzo.org.ukjuliek.htm,0
H_00000089,T2,benzo.org.uk,1,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.benzo.org.uk/sidefx.htm,Benzodiazepine Side Effects,http://www.benzo.org.uk/,"This is a list of side effects that may result from the use of benzodiazepines: So-called ""Paradoxical"" Effects. According to Professor Malcolm Lader, 5% of those using benzodiazepines may be affected by so-called ""paradoxical"" reactions in response to the drugs rather than the desired tranquillising effects. Such reactions include increased aggressiveness (in some individuals even violent behaviour), depression (with or without suicidal thoughts or intentions), and sometimes personality changes. In some instances, reactions such as hallucinations, depersonalisation, derealisation and other psychiatric symptoms occur.",httpwww.benzo.org.uksidefx.htm,0
H_00000090,T2,bhpalmbeach.com,2,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.bhpalmbeach.com/program/focus/mixing-alcohol-and-benzos,MIXING ALCOHOL AND BENZOS,http://www.bhpalmbeach.com/,"Benzodiazepines, or ""benzos"", are a family of sedatives or minor tranquilizers that are designed to treat insomnia, sleep deprivation, and anxiety. When these drugs are mixed with alcohol, they can intensely magnify alcohol's depressive effects and place users in serious physical and emotional jeopardy. Mixing alcohol and benzos can impair judgment, significantly decrease mobility or control over one's own movements, and dramatically depress the central nervous system. This combined abuse can also place intense strain on the respiratory system and significantly impair breathing. One of the largest issues with prescribing benzodiazepines for legitimate illness is determining a patient's level and frequency of alcohol consumption.",httpwww.bhpalmbeach.comprogramfocusmixing-alcohol-and-benzos,0
H_00000094,T2,dualdiagnosis.org,6,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.dualdiagnosis.org/benzodiazepine-addiction/,The Hidden Dangers of Benzodiazepines,http://www.dualdiagnosis.org/,"In the last year there have been several studies/stories about the risks associated with benzodiazepine abuse. And while benzodiazepines have been prescribed for decades to treat anxiety and seizure disorders, the possible threat of overusing them is real and with that comes dependency, overdose and the potentiality of death. Did you know that since 2010, there have been 6,507 US drug overdose deaths that involved benzodizepines? Because of this rising number, FRN created an infographic to help familiarize those about benzodiazepines but most importantly help create awareness regarding the possible addiction with benzodiazepines.",httpwww.dualdiagnosis.orgbenzodiazepine-addiction,0
H_00000091,T2,foundationsrecoverynetwork.com,3,Incorrect,incorrect,555,555,555,555,555,555,555,http://www.foundationsrecoverynetwork.com/dangers-mixing-alcohol-benzodiazepines/,Dangers of Mixing Alcohol and Benzodiazepines,http://www.foundationsrecoverynetwork.com/,"Many people drink alcohol while taking other substances to enhance the effects of both drugs, but this activity is extremely dangerous. Mixing alcohol with benzodiazepines is especially risky, and can cause severe and permanent damage, both to a person's body and to her relationships. Seek professional help to quit whatever drug you abuse.",httpwww.foundationsrecoverynetwork.comdangers-mixing-alcohol-benzodiazepines,0
H_00000073,T5,bayviewdental.com,3,Correct,correct-added,7,31,3,13.66666667,14,26.998,27,http://bayviewdental.com/2017/02/22/teeth-sealants/,Teeth Sealants Prevent Decay,http://bayviewdental.com/,"Teeth sealants are thin layers of ""tooth-colored"" filler, called resin, that is placed in the pits, fissures, and grooves of the back teeth, or molars, to prevent decay from forming on these surfaces. Frequently, decay begins on molars in the pits and chewing surfaces. This starts shortly after the teeth erupt and for the first five to seven years of development. ",httpbayviewdental.com20170222teeth-sealants,0
H_00000061,T5,animated-teeth.com,9,Correct,correct,20,31,20,23.66666667,24,28.924,29,http://www.animated-teeth.com/tooth_sealants/t1_sealing_teeth.htm,Dental Sealants: The basics. - What are they? / How do they work? / Which teeth? What age? / How long do they last?,http://www.animated-teeth.com/,Tooth Sealants - a) What are they? A dental sealant is a thin plastic coating (clear or white) that's bonded into the pits and grooves of a tooth. They're most frequently placed on the chewing surface of teeth (where most of a tooth's grooves lie). But they can also extend onto their cheek or tongue sides too (either as a continuous or separate piece) depending on what additional pits and fissures are found there,httpwww.animated-teeth.comtooth_sealantst1_sealing_teeth.htm,0
H_00000059,T5,knowyourteeth.com,7,Correct,correct,31,31,31,31,31,31,31,http://www.knowyourteeth.com/infobites/abc/article/?abc=S&iid=327&aid=1312,What is a Sealant?,http://www.knowyourteeth.com/,"A dental sealant is a thin plastic film painted on the chewing surfaces of teeth to prevent cavities. How effective are sealants? Studies have proven that properly applied sealants are 100-percent effective in protecting the tooth surfaces from cavities. As long as the sealant remains intact, small food particles and bacteria that cause cavities cannot penetrate through or around a sealant. Sealant protection is reduced or lost when part or all of the bond between the tooth and sealant is broken.",httpwww.knowyourteeth.cominfobitesabcarticleabc=Siid=327aid=1312,0
H_00000075,T5,mcelroydds.com,5,Correct,correct-added,31,3,31,21.66666667,22,6.81,7,http://www.mcelroydds.com/services/cleanings-prevention/pit-and-fissure-sealants-to-prevent-tooth-decay/,Pit and Fissure Sealants to Prevent Tooth Decay,http://www.mcelroydds.com/,"To prevent cavities (dental caries), we may recommend protective sealants.  Sealants can be applied to your children's molars to prevent decay on hard to clean surfaces.  A sealant is a clear or shaded plastic material that is applied to the chewing serfaces (grooves) of the back teeth (premolars and molars), where four out of five cavities are found. ",httpwww.mcelroydds.comservicescleanings-preventionpit-and-fissure-sealants-to-prevent-tooth-decay,0
H_00000055,T5,mchoralhealth.org,3,Correct,correct,2,12,1,5,5,10.371,10,http://www.mchoralhealth.org/PDFs/OHDentSealantFactsheet.pdf,Preventing Tooth Deacay and Saving Teeth with Dental Sealants,http://www.mchoralhealth.org/,Dental sealants are thin plastic coatings that are applied to the pits and fissures (grooves) on the chewing surfaces of molar teeth. Most tooth decay experienced by children and adolescents occurs on these surfaces. Sealants prevent dental caries (tooth decay) by creating a physical barrier against bacterial plaque and food.,httpwww.mchoralhealth.orgPDFsOHDentSealantFactsheet.pdf,2
H_00000054,T5,mouthhealthy.org,2,Correct,correct,1,10,2,4.333333333,4,8.611,9,http://www.mouthhealthy.org/en/az-topics/s/sealants,Sealants,http://www.mouthhealthy.org/,"Dental sealants act as a barrier to prevent cavities. They are a plastic material usually applied to the chewing surfaces of the back teeth (premolars and molars) where decay occurs most often. Thorough brushing and flossing help remove food particles and plaque from smooth surfaces of teeth. But toothbrush bristles cannot reach all the way into the depressions and grooves to extract food and plaque. Sealants protect these vulnerable areas by ""sealing out"" plaque and food.",httpwww.mouthhealthy.orgenaz-topicsssealants,0
H_00000080,T5,shielddentalcare.com,10,Correct,correct-added,8,31,31,23.33333333,23,28.027,28,http://www.shielddentalcare.com/dental-sealants/,Ask about Dental Sealants to Prevent Tooth Decay,http://www.shielddentalcare.com/,"At Shield Dental Care, we take pride in practicing and implementing our philosophy of prevention. A dental sealant prevents tooth decay by filling in the microscopic fissures in the tooth. As a result, you can reduce the chances of cavities growing in those spaces.",httpwww.shielddentalcare.comdental-sealants,0
H_00000057,T5,webmd.com,5,Correct,correct,5,5,8,6,6,5.009,5,http://www.webmd.com/oral-health/sealants,Tooth Sealants,http://www.webmd.com/,"Sealants are a thin coating painted on the chewing surfaces of teeth -- usually the back teeth (the premolars and molars) -- to prevent tooth decay. The painted on liquid sealant quickly bonds into the depressions and grooves of the teeth, forming a protective shield over the enamel of each tooth. Why Get Sealants? Although thorough brushing and flossing can remove food particles and plaque from smooth surfaces of teeth, they cannot always get into all the nooks and crannies of the back teeth to remove the food and plaque.",httpwww.webmd.comoral-healthsealants,0
H_00000074,T5,en.wikipedia.org,4,Correct,correct-added,5,22,4,10.33333333,10,19.225,19,https://en.wikipedia.org/wiki/Dental_sealant,Dental sealant,https://en.wikipedia.org/,"Dental sealants (also termed pit and fissure sealants, or simply fissure sealants) are a dental treatment intended to prevent tooth decay. Teeth have recesses on their biting surfaces; the back teeth have fissures (grooves) and some front teeth have cingulum pits. It is these pits and fissures which are most vulnerable to tooth decay because food and bacteria stick in them and because they are hard-to-clean areas. ",httpsen.wikipedia.orgwikiDental_sealant,3
H_00000056,T5,cdhp.org,4,Correct,correct,3,13,12,9.333333333,9,11.683,12,https://www.cdhp.org/resources/314-dental-sealants-proven-to-prevent-tooth-decay,Dental Sealants: Proven to Prevent Tooth Decay,https://www.cdhp.org/,"Dental sealants are protective coatings that are applied to children's most cavity-prone teeth and have been shown to reduce tooth decay by up to 60 percent. And the average cost of applying a sealant is less than one-third the cost of filling a cavity. Yet providing sealants to children who are most at risk of decay is no simple task. This May 2014 report by the Children's Dental Health Project (CDHP) examines the challenges that states face as they implement School Sealant Programs (SSPs).

",httpswww.cdhp.orgresources314-dental-sealants-proven-to-prevent-tooth-decay,1
H_00000071,T5,cochrane.org,1,Correct,correct-added,4,1,23,9.333333333,9,2.023,2,https://www.cochrane.org/CD001830/ORAL_sealants-preventing-tooth-decay-permanent-teeth,Sealants for preventing tooth decay in permanent teeth,https://www.cochrane.org/,"Review: question Can sealants prevent tooth decay in permanent teeth and what are the effects of different types of sealants? Background: Although children and adolescents have healthier teeth than in the past, tooth decay is a problem in some people and places. Most tooth decay in young people occurs on the biting surfaces of back teeth. ",httpswww.cochrane.orgCD001830ORAL_sealants-preventing-tooth-decay-permanent-teeth,0
H_00000078,T5,colgate.com,8,Correct,correct-added,31,5,14,16.66666667,17,7.937,8,https://www.colgate.com/en-us/oral-health/procedures/sealants/ada-03-preventing-and-halting-tooth-decay-with-sealants,Preventing And Halting Tooth Decay With Sealants,https://www.colgate.com/,"One of the most common spots for tooth decay to develop is on the chewing surfaces of the back teeth, also known as the premolars and molars. If you run your tongue along the chewing surfaces, you will feel rough grooves. The grooves, which are called pits and fissures, help to grind food.",httpswww.colgate.comen-usoral-healthproceduressealantsada-03-preventing-and-halting-tooth-decay-with-sealants,0
